飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
20.航班延误时，旅客可以得到什么服务？	"除法律另有规定外，南航取消航班后，如果造成您的航班没能按照航班时刻飞行或者无法在目的地点、中途分程地点降停或错过已定妥的衔接航班，南航将采取下列措施供您选择：


1、免费为您安排南航最早有可利用座位的定期航班或必要时延长客票有效期；


2、在合理期限内，通过改变行程，免费为您安排南航或其它承运人的航班，或者使用双方认可的其它运输方式，将您运送到客票上载明的目的地而不额外收费；


3、按照非自愿退票规定办理退票。





不正常航班的帮助：


1、由于机务维护、航班调配、商务、机组等南航自身原因，造成航班在始发地点延误或取消，南航将免费向您提供航班动态信息及餐食、住宿等；


2、由于天气、突发事件、空中交通管制、安检及旅客等非南航自身原因，造成航班在始发地延误或取消的，南航将向您提供航班动态信息，并协助您安排餐食、住宿，费用由您自理；


3、如果航班在经停地点延误或取消，无论何种原因，南航将免费向您提供餐食、住宿等。"
1.我可以从登机口显示屏获取怎样的信息?	您所在登机口对应的航班的时间，始发、到达城市，以及每个航班的状态。
2.南航会通知我相关的截止时间吗？	"1、如果旅客搭乘的第一个航班是南航的航班，南航或南航的授权代理人将通知旅客办理值机登记的截止时间。


2、对于旅客旅程中的任意一个后续航班的乘机登记截止时间，旅客应自行查询。为了旅客旅行的顺畅，应预留充足的时间办理值机登记手续。


3、如果旅客未在规定的乘机登记截止时间之前办理登记手续，南航有权取消旅客的定座。各机场的乘机登记截止时间并不一致，建议旅客自行了解并遵守各机场的乘机登记截止时间。"
3.字母“E”是指什么意思？	航班号码边显示的“e”表示该航班能使用电子客票。
4.航班离港时间是什么意思？	离港时间是指飞机开始运动和离开它的停留港的时间。此时飞机将开往跑道，准备起飞。离港时间将在您购买或预定客票时显示在您的客票及机场离港时刻表屏幕上。
5.航班到达时间是指什么?	到达时间是指飞机到达目的地机场后停在它停留港上，不再运动的时间。您的航班到达时间在您购买客票时显示在旅程提示上。
6.为了我的航班准时我能做些什么？	"为了不耽误您的航班，您必须
1.
清楚最后办理值机手续的时间，请根据以下标题进入相关页面查看：首页 > 出行向导 > 机场服务 > 各地机场信息 >
办理值机时间。
2.
清楚知道写在您登机牌允许上飞机的时间。
3.
如果您是通过南航网站办理值机手续的，请在网页上留意您上飞机的最后期限。
4.
任何您在机场看到的或听到的与您的航班有关的通知。"
7.我漏乘了飞机，该怎么办？	由于旅客原因发生漏乘，按自愿退票的规定办理。由于南航原因造成旅客漏乘，南航会早安排旅客乘坐后续航班成行，如旅客要求退票，按非自愿退票的有关规定办理。
如果无法准时到达机场搭乘飞机，应该怎么办？	首先，请先联系搭乘航班的所属航空公司，根据航空公司的要求办理相关手续。根据购买机票的种类，可能存在无法改签或退票退款的情况。各航空公司的相关手续及规则都不尽相同，请向相关航空公司确认详细信息。
在搭乘飞机时希望得到帮助？	需要帮助的旅客请提前联系相关航空公司。可提供的具体服务内容也视各航空公司而定，请在相关航空公司官网查询，或致电询问具体信息。同时，从到达机场至办票柜台这一移动区间内，机场问讯处员工及志愿者也可以为您提供必要帮助。需要帮助时，请随时联系问讯处员工。
转机需要多少时间？	转机时间视各航班情况而定，请向相关航空公司确认详细信息。同时，可以参考转机流程说明。
应该去第1航站楼，还是第2航站楼？	不同的航空公司，所在航站楼不同，请在本网站“航班”页面中确认具体信息。同时可向相关航空公司进一步确认详情。
想咨询再入境的相关事项？	居住在日本的外国国籍居民，如果需要临时出境并再次返回日本时，请提前向入国管理局申请再入国许可。原则上，机场不提供再入境相关手续的办理业务。出/入境的相关事项请咨询入国管理局内相关柜台。此外，入国管理局也提供邮件咨询服务。
从其他机场搭乘国际航班在中部国际机场新特丽亚进行国际中转时，是否需要支付“旅客服务设施使用费”和“旅客安保服务费”？	原则上，国际中转航班无需支付。但值得注意的是过夜中转的情况，需要支付这两项费用。
什么是“旅客服务设施使用费”和“旅客安保服务费”？	出行旅客将会缴纳“旅客服务设施使用费”及“旅客安保服务费”。其中“旅客服务设施使用费”将用于航站楼公用设施（大厅，登机口休息区等）的维护。而”旅客安保服务费“则将用于安保服务。我们将竭力为旅客提供安全舒适的服务设施及相应优质服务，希望各位旅客能给予我们理解与支持。同时，在购买机票时，“旅客设施使用费”和“旅客安保服务费”已囊括在机票价格内
在安检处接受安全检查时有什么注意事项吗？	在安检处所进行的安全检查，主要针对“随身携带行李及小件物品”还有“乘客本身”进行登机前检查。为确保出行安全，会使用X光设备检查行李和小件物品，同时使用金属探测器检查乘客情况。有关详细信息，请查看安全指南页面。
对于液体的携带有限制吗？	搭乘国际航班，从日本出境时，对随身携带的液体物品有限制。搭乘国内航班时，则没有对于液体携带的限制。
可以出发前将行李寄送至中部国际机场（新特丽亚），然后在机场内收取吗？	可以在行李服务柜台领取行李。请在行李收寄服务页面查阅详情。此外，在确定出发日期及搭乘航班后，可以向各承运商咨询保管日期和费用等详情。
计划从中部国际机场（新特丽亚）出发，但在航班信息页面中查询不到预定搭乘的航班？	"可以考虑以下原因：1. 搭乘航班可能为航空公司或旅行社的包机航班。如为包机航班，出行当日可在“航班”页面中查询航班状态。
如需要查询过往航班信息，请咨询相关航空公司或旅行社。2. 预定当日起飞的航班，因某种原因延迟至第二天或之后时，航班号有可能发生变更。如遇此种情况，请向相关航空公司咨询详情。"
不能登机的物品有哪些呢？	严禁携带航空法禁止运输的物品，和可能在飞机上被当作武器的刀片，以及球棒等物品。此外，搭乘国际航班时，对于液体的携带也有限制。在安全检查时，如果发现任何禁止或限制携带的物品，将视作旅客自愿丢弃该物品。但其中部分物品可以作为托运行李托运。安全指南中介绍了允许和严禁携带/托运的代表性物品。 有关更多详细信息，请咨询相关航空公司。
可以从机场寄行李到家里或者酒店吗？	"可以在行李服务柜台寄送行李。请在行李收寄服务页面查阅详情。此外，位于第1航站楼1层的邮局也提供“Yu-Pack（邮包）”邮寄服务。
运输天数及费用等详情，请咨询各承运商。"
